sku,description,quantity,unit,specs
W14x82,W14x82 Wide Flange Beam,95,tons,ASTM A992 Grade 50
HSS 10x10x1/2,HSS Square Structural Tube 10"x10"x1/2",18,tons,ASTM A500 Grade C
L4x4x1/2,Equal Leg Angle 4"x4"x1/2",8,tons,ASTM A36
PL 1/2,Structural Steel Plate 1/2" Thick,12,tons,ASTM A36
A325-3/4,High-Strength Bolt 3/4" Diameter,2400,ea,ASTM A325
#5 Rebar,Deformed Reinforcing Bar #5 (5/8"),75,tons,ASTM A615 Grade 60
#8 Rebar,Deformed Reinforcing Bar #8 (1"),60,tons,ASTM A615 Grade 60
4000 PSI Ready-Mix,Ready-Mix Concrete 4000 PSI Normal Weight,850,cy,ACI 301
6x6-W2.9xW2.9 WWF,Welded Wire Fabric 6"x6" 10/10 Gauge,18000,sf,ASTM A185
CW-6550,Unitized Curtain Wall Panel 60"x150",420,ea,ASTM E283 / ASTM E330
